eid,gp2025,fp2025
39646,11,-19
4905859,35,542
33839,31,713
35277,51,426
4917836,24,137
5194684,22,178
40521,10,-16
34951,54,152
36063,28,318
32623,50,414
41227,57,417
39945,69,478
36084,54,179
4712767,17,38
4084179,62,520
40557,108,603
42411,81,302
38905,28,229
4807220,132,588
41318,52,531
4917787,39,114
4917819,23,192
31389,62,199
33215,60,285
36040,129,911
32157,21,732
33809,86,449
34168,54,313
41085,14,565
41359,16,86
42242,8,188
33805,90,293
4414123,7,70
41180,29,134
5005912,20,85
33832,36,54
42959,127,730
4297998,47,239
4619460,147,733
33711,137,541
4619467,34,158
41018,20,230
41893,24,256
42427,104,576
4740117,10,447
4418683,82,243
41684,140,887
41829,9,329
4917925,36,230
37005,70,420
40576,93,539
31187,146,879
40423,140,664
36161,63,736
41215,135,540
33252,5,820
41928,104,363
42933,102,545
5201569,67,302
42949,29,63
4916509,52,487
42925,36,177
4917824,111,460
5123582,26,219
36928,103,724
4019484,6,140
30545,93,478
31313,31,846
41223,57,236
4142414,61,438
4622501,55,423
30830,97,487
4872682,5,8
5085743,22,657
33572,132,603
4917897,24,46
37909,34,237
4298087,13,343
38851,30,122
41194,33,60
33499,71,793
33671,57,410
4326703,2,9
35020,150,642
4722599,52,460
37232,2,12
32804,14,284
32185,32,210
42608,110,430
4927523,50,230
39963,95,467
41065,16,494
4727589,29,76
42171,51,473
4089862,48,289
4872692,31,93
39716,22,279
4307467,59,593
39818,27,732
32134,12,87
40086,56,102
40958,108,641
41586,98,595
34940,89,452
33735,19,407
42592,53,606
35004,98,446
5116843,7,59
41220,31,75
4626232,5,96
4997181,80,403
41383,23,747
4313163,14,150
4838117,13,87
4734319,13,491
32440,67,600
35026,65,449
3983841,69,514
5132121,68,654
32116,31,656
40719,100,552
35042,32,131
5272008,4,-22
37911,7,76
4683350,30,791
30577,2,-13
4626239,83,344
40048,104,362
34166,73,609
4228579,54,317
4020158,1,-9
31399,112,396
39807,30,185
39913,3,16
41405,9,298
4917822,13,20
4649953,39,624
4298639,4,10
32168,61,144
5201985,13,138
41743,48,584
4995802,72,696
40344,128,535
34874,26,242
3985190,63,173
4109031,64,296
39949,74,555
40960,6,-2
33721,50,171
42500,7,22
4917849,14,82
39105,111,548
39645,79,765
41168,90,281
41452,2,66
4621489,23,81
32046,38,212
40787,16,-2
5136815,15,119
41636,31,105
41801,36,69
42701,15,9
36023,48,352
41485,72,542
33594,98,292
42927,103,350
2560565,39,218
4650237,28,84
38106,15,14
38994,98,522
39918,29,123
42826,94,673
4413990,10,101
32106,24,665
30280,122,764
32888,22,204
33142,58,275
5136835,62,286
5136931,3,-2
4917765,3,-6
4722926,2,20
37773,49,160
4297976,38,169
40978,58,169
4621029,2,35
41672,66,177
35268,92,350
4918085,46,126
35773,15,106
35999,33,683
4722676,27,84
28963,23,706
5150939,10,340
4348166,39,324
31864,34,588
40437,69,572
40948,21,21
41017,70,444
42063,44,409
33984,83,454
42641,56,169
36093,59,684
36201,8,133
36202,59,384
28701,135,703
4722939,23,152
4297758,53,172
38628,48,337
30653,14,124
4414362,28,232
39900,46,156
39936,20,235
40767,86,418
40816,42,140
32903,49,382
41177,33,343
41464,43,127
4719337,42,230
33546,134,664
41763,51,177
33667,87,321
33954,14,25
43025,50,256
4418140,58,191
35997,43,408
5197093,43,558
4919929,50,635
37798,76,260
4420745,16,159
38796,54,354
5185107,55,519
40593,101,352
40610,110,525
41009,9,79
42161,66,527
42487,4,4
34958,70,307
35876,55,348
36036,71,501
36088,73,488
36728,33,242
37340,131,396
37974,73,342
29951,67,182
3962127,84,267
4683379,22,106
4749675,13,6
31109,5,101
4872687,3,-54
4905920,18,87
31870,126,722
32156,75,565
40835,33,156
32777,65,524
33172,11,5
4866477,31,106
33411,70,372
41644,37,107
41776,44,544
33816,26,212
4326801,7,79
4326800,46,568
34542,71,525
4721040,19,41
35760,4,10
5197166,21,409
36724,64,543
37825,18,182
31010,57,529
39216,85,413
4414183,5,21
39856,10,50
39871,63,463
32055,15,437
40338,131,368
32151,26,626
40981,7,158
41252,22,58
33191,12,145
41802,49,124
42105,48,203
42692,3,-7
4918160,21,274
36089,19,46
4722962,6,29
4019760,28,205
4635337,29,55
4414361,57,386
5185133,36,246
40702,29,29
40858,43,221
41030,16,74
4916547,57,191
4417465,8,16
3459223,48,393
4917631,5,66
4622931,57,231
36131,42,380
4705673,69,452
36480,8,118
5124114,11,320
3961066,21,166
4411979,66,598
37537,9,9
4987645,32,409
4414243,11,241
4905900,55,416
4717899,10,84
40718,66,150
32530,68,186
32531,22,44
40869,42,112
40900,75,226
32815,9,124
41407,1,-5
41460,17,162
33305,17,291
41515,43,312
4424368,50,162
33691,10,-49
4662616,48,196
42504,70,430
42545,14,27
42735,15,111
5221123,4,10
4917924,18,34
35675,64,214
5196606,59,251
4918159,33,117
36385,30,311
5132036,22,99
36723,61,442
4346117,48,309
29155,33,760
4420749,8,73
5207459,30,120
3332018,14,575
30738,48,544
38958,7,229
4684371,64,197
4987650,138,767
39912,5,11
39924,105,297
4905923,69,959
40337,33,187
40346,25,58
40485,54,373
32377,35,194
32589,19,123
4710478,1,-13
4718623,52,186
41150,23,29
41259,28,62
33072,44,243
33184,28,71
33205,32,49
41397,14,20
33271,22,71
33287,96,404
4424290,8,-5
5202474,16,364
5137038,2,7
33763,14,102
4424742,102,407
33926,10,21
4228448,16,83
42375,33,26
42412,87,375
34287,110,571
42536,43,192
42548,61,150
4179551,11,62
42620,63,458
42623,19,55
42845,37,157
34928,23,130
4417826,10,269
35383,94,433
5270578,41,375
36067,21,237
36170,30,113
4705677,26,563
5000931,37,109
5197473,7,143
5123999,4,41
36974,49,244
4722941,56,306
3994084,19,169
29607,78,234
4912412,27,87
5133834,58,215
4683352,15,17
4683356,33,531
38682,49,185
5265417,40,251
5126205,6,1
31208,116,602
5216700,32,348
40021,30,138
31867,66,453
4414687,109,393
32101,4,17
40354,1,6
5185106,43,144
40559,46,385
5136077,54,487
5291866,1,-10
40922,20,77
40927,39,474
33089,58,402
41310,17,227
41378,1,16
41386,30,318
33202,4,40
33250,43,244
41447,11,25
33325,45,246
41531,5,0
41612,56,410
33452,30,86
33638,55,414
33707,34,141
33786,56,228
4990069,35,269
33956,93,572
42155,2,-3
4424951,18,104
4228247,72,493
42363,31,277
42596,10,29
42829,66,242
4736800,3,-33
43030,69,253
34947,87,303
4917759,39,247
35314,37,194
4917841,3,36
36485,39,252
5001155,28,250
5132624,26,330
5099971,1,29
4919922,13,6
5133837,20,450
30382,109,458
5101355,16,582
30627,125,725
5273591,44,365
30765,42,181
5273851,5,111
39226,76,250
5012056,3,-13
39711,24,71
31755,14,49
4414551,47,709
4717834,25,207
4299966,33,318
4734325,14,240
5217798,1,-8
40462,54,118
40481,7,3
40574,51,109
40655,83,197
40754,77,479
